log_path,model_name,mode,db_type,source_domain,target_domain,shot,em,em_type,correct,total
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__gsm8k/shot3.log,qwen7,RAG,embedding,ProntoQA,gsm8k,3.0,0.8681,gsm8k_exact_match,1145.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__gsm8k/shot1.log,qwen7,RAG,embedding,ProntoQA,gsm8k,1.0,0.8613,gsm8k_exact_match,1136.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__FOLIO/shot4.log,qwen7,RAG,embedding,ProntoQA,FOLIO,4.0,0.6715686274509803,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__FOLIO/shot2.log,qwen7,RAG,embedding,ProntoQA,FOLIO,2.0,0.6666666666666666,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__FOLIO/shot3.log,qwen7,RAG,embedding,ProntoQA,FOLIO,3.0,0.6911764705882353,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProntoQA__FOLIO/shot1.log,qwen7,RAG,embedding,ProntoQA,FOLIO,1.0,0.6568627450980392,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__AR-LSAT/shot4.log,qwen7,RAG,embedding,gsm8k,AR-LSAT,4.0,0.23478260869565218,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__AR-LSAT/shot2.log,qwen7,RAG,embedding,gsm8k,AR-LSAT,2.0,0.2217391304347826,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__AR-LSAT/shot3.log,qwen7,RAG,embedding,gsm8k,AR-LSAT,3.0,0.21304347826086956,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/gsm8k__AR-LSAT/shot1.log,qwen7,RAG,embedding,gsm8k,AR-LSAT,1.0,0.21304347826086956,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__AR-LSAT/shot4.log,qwen7,RAG,embedding,FOLIO,AR-LSAT,4.0,0.23043478260869565,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__AR-LSAT/shot2.log,qwen7,RAG,embedding,FOLIO,AR-LSAT,2.0,0.23043478260869565,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__AR-LSAT/shot3.log,qwen7,RAG,embedding,FOLIO,AR-LSAT,3.0,0.24782608695652175,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__AR-LSAT/shot1.log,qwen7,RAG,embedding,FOLIO,AR-LSAT,1.0,0.2782608695652174,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__AR-LSAT/.ipynb_checkpoints/shot1-checkpoint.log,qwen7,RAG,embedding,FOLIO,AR-LSAT,,0.2782608695652174,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__AR-LSAT/.ipynb_checkpoints/shot2-checkpoint.log,qwen7,RAG,embedding,FOLIO,AR-LSAT,,0.23043478260869565,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__AR-LSAT/shot4.log,qwen7,RAG,embedding,ProofWriter,AR-LSAT,4.0,0.26521739130434785,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__AR-LSAT/shot2.log,qwen7,RAG,embedding,ProofWriter,AR-LSAT,2.0,0.25217391304347825,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__AR-LSAT/shot3.log,qwen7,RAG,embedding,ProofWriter,AR-LSAT,3.0,0.24782608695652175,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/ProofWriter__AR-LSAT/shot1.log,qwen7,RAG,embedding,ProofWriter,AR-LSAT,1.0,0.2391304347826087,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__FOLIO/shot4.log,qwen7,RAG,embedding,LogicalDeduction,FOLIO,4.0,0.6813725490196079,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__FOLIO/shot2.log,qwen7,RAG,embedding,LogicalDeduction,FOLIO,2.0,0.6813725490196079,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__FOLIO/shot3.log,qwen7,RAG,embedding,LogicalDeduction,FOLIO,3.0,0.6764705882352942,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/LogicalDeduction__FOLIO/shot1.log,qwen7,RAG,embedding,LogicalDeduction,FOLIO,1.0,0.696078431372549,em_generic,,
